Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse
NUM,31,21,31,31,EZE,17,22,18,23,PRO,4,0,,0,1TH,1,1,2,12
NUM,31,32,31,54,EZE,18,24,20,7,PRO,5,1,6,5,1TH,2,13,3,10
NUM,32,1,32,15,EZE,20,8,20,29,PRO,6,6,6,35,1TH,3,11,4,18
NUM,32,16,32,32,EZE,20,30,21,7,PRO,7,0,,0,1TH,5,0,,0
NUM,32,33,33,5,EZE,21,8,21,32,PRO,8,0,,0,2TH,1,1,2,12
NUM,33,6,33,30,EZE,22,0,,0,PRO,9,1,10,5,2TH,2,13,3,0
NUM,33,31,33,56,EZE,23,1,23,27,PRO,10,6,10,32,1TI,1,0,,0
NUM,34,1,34,12,EZE,23,28,24,5,PRO,11,0,,0,1TI,2,1,3,13
NUM,34,13,34,29,EZE,24,6,25,7,PRO,12,1,12,21,1TI,3,14,4,0
NUM,35,1,35,19,EZE,25,8,26,14,PRO,12,22,13,22,1TI,5,0,,0
NUM,35,20,35,34,EZE,26,15,27,17,PRO,13,23,14,24,1TI,6,0,,0
NUM,36,0,,0,EZE,27,18,28,10,PRO,14,25,15,14,2TI,1,0,,0
DEU,1,1,1,18,EZE,28,11,29,7,PRO,15,15,16,9,2TI,2,0,,0
DEU,1,19,1,33,EZE,29,8,30,12,PRO,16,10,17,5,2TI,3,0,,0
DEU,1,34,2,5,EZE,30,13,31,14,PRO,17,6,18,5,2TI,4,0,,0
DEU,2,6,2,15,EZE,31,15,32,16,PRO,18,6,19,8,TIT,1,1,2,8
DEU,2,16,2,37,EZE,32,17,33,9,PRO,19,9,20,6,TIT,2,9,3,15
DEU,3,1,3,14,EZE,33,10,33,33,PRO,20,7,21,3,PHM,1,0,,0
DEU,3,15,3,29,EZE,34,0,,0,PRO,21,4,21,31,HEB,1,1,2,8
DEU,4,1,4,14,EZE,35,1,36,5,PRO,22,0,,0,HEB,2,9,3,11
DEU,4,15,4,27,EZE,36,6,36,38,PRO,23,1,23,28,HEB,3,12,4,16
DEU,4,28,4,40,EZE,37,1,37,22,PRO,23,29,24,22,HEB,5,1,6,8
DEU,4,41,5,10,EZE,37,23,38,16,PRO,24,23,25,14,HEB,6,9,7,7
DEU,5,11,5,27,EZE,38,17,39,22,PRO,25,15,26,12,HEB,7,8,7,28
DEU,5,28,6,9,EZE,39,23,40,19,PRO,26,13,27,13,HEB,8,1,9,10
DEU,6,10,6,25,EZE,40,20,40,43,PRO,27,14,28,11,HEB,9,11,9,28
DEU,7,1,7,11,EZE,40,44,41,19,PRO,28,12,29,10,HEB,10,1,10,25
DEU,7,12,7,26,EZE,41,20,42,20,PRO,29,11,30,9,HEB,10,26,11,7
DEU,8,0,,0,EZE,43,1,43,21,PRO,30,10,30,33,HEB,11,8,11,27
DEU,9,1,9,10,EZE,43,22,44,16,PRO,31,0,,0,HEB,11,28,12,10
DEU,9,11,9,24,EZE,44,17,45,12,ECC,1,1,2,11,HEB,12,11,12,29
DEU,9,25,10,9,EZE,45,13,46,10,ECC,2,12,2,26,HEB,13,0,,0
DEU,10,10,10,22,EZE,46,11,47,5,ECC,3,0,,0,JAM,1,0,,0
DEU,11,1,11,17,EZE,47,6,48,7,ECC,4,0,,0,JAM,2,0,,0
DEU,11,18,11,32,EZE,48,8,48,35,ECC,5,0,,0,JAM,3,0,,0
DEU,12,1,12,16,HOS,1,1,2,13,ECC,6,1,7,7,JAM,4,0,,0
DEU,12,17,12,28,HOS,2,14,4,11,ECC,7,8,8,1,JAM,5,0,,0
DEU,12,29,13,11,HOS,4,12,6,6,ECC,8,2,9,3,1PE,1,1,1,21
DEU,13,12,14,8,HOS,6,7,8,10,ECC,9,4,10,1,1PE,1,22,2,17
DEU,14,9,14,27,HOS,8,11,10,8,ECC,10,2,11,6,1PE,2,18,3,12
DEU,14,28,15,11,HOS,10,9,12,8,ECC,11,7,12,14,1PE,3,13,4,11
DEU,15,12,15,23,HOS,12,9,14,9,SON,1,1,2,7,1PE,4,12,5,14
DEU,16,1,16,15,JOE,1,0,,0,SON,2,8,3,0,2PE,1,1,2,8
DEU,16,16,17,7,JOE,2,1,2,27,SON,4,1,5,8,2PE,2,9,2,22
DEU,17,8,17,20,JOE,2,28,3,21,SON,5,9,6,13,2PE,3,0,,0
DEU,18,1,18,14,AMO,1,1,2,5,SON,7,0,8,0,1JO,1,1,2,11
DEU,18,15,19,6,AMO,2,6,3,15,LAM,1,1,1,14,1JO,2,12,2,29
DEU,19,7,19,21,AMO,4,1,5,13,LAM,1,15,2,6,1JO,3,0,,0
DEU,20,1,20,14,AMO,5,14,6,11,LAM,2,7,2,19,1JO,4,0,,0
DEU,20,15,21,9,AMO,6,12,8,3,LAM,2,20,3,30,1JO,5,0,,0
DEU,21,10,21,23,AMO,8,4,9,15,LAM,3,31,3,66,1TI,1,0,,0
DEU,22,1,22,17,OBA,1,0,21,0,LAM,4,1,4,17,JDE,1,1,1,13
DEU,22,18,22,30,JON,1,0,2,0,LAM,4,18,5,22,JDE,1,14,1,25
DEU,23,1,23,18,JON,3,0,4,0,DAN,1,0,1,16,REV,1,0,,0
DEU,23,19,24,6,MIC,1,1,2,11,DAN,1,17,2,13,REV,2,1,2,17
DEU,24,7,24,22,MIC,2,12,4,10,DAN,2,14,2,28,REV,2,18,3,6
DEU,25,1,25,16,MIC,4,11,6,8,DAN,2,29,2,45,REV,3,7,4,3
DEU,25,17,26,11,MIC,6,9,7,20,DAN,2,46,3,12,REV,4,4,5,10
DEU,26,12,27,8,NAH,1,1,2,12,DAN,3,13,3,27,REV,5,11,6,11
DEU,27,9,27,26,NAH,2,13,3,19,DAN,3,28,4,12,REV,6,12,7,10
DEU,28,1,28,14,HAB,1,1,2,11,DAN,4,13,4,23,REV,7,11,8,11
DEU,28,15,28,29,HAB,2,12,3,19,DAN,4,24,4,37,REV,8,12,9,16
DEU,28,30,28,44,ZEP,1,1,2,7,DAN,5,1,5,16,REV,9,17,10,11
DEU,28,45,28,57,ZEP,2,8,3,20,DAN,5,17,5,31,REV,11,0,,0
DEU,28,58,29,1,HAG,1,1,2,9,DAN,6,1,6,17,REV,12,0,,0
DEU,29,2,29,18,HAG,2,10,2,23,DAN,6,18,6,28,REV,13,0,,0
DEU,29,19,29,29,ZEC,1,1,2,9,DAN,7,1,7,14,REV,14,1,14,16
DEU,30,0,,0,ZEC,2,10,4,14,DAN,7,15,8,4,REV,14,17,16,6
DEU,31,1,31,13,ZEC,5,0,6,0,DAN,8,5,8,22,REV,16,7,16,21
DEU,31,14,31,23,ZEC,7,1,8,13,DAN,8,23,9,11,REV,17,0,,0
DEU,31,24,32,9,ZEC,8,14,9,17,DAN,9,12,9,25,REV,18,1,18,16
DEU,32,10,32,25,ZEC,10,1,11,13,DAN,9,26,10,14,REV,18,17,19,10
DEU,32,26,32,44,ZEC,11,14,13,9,DAN,10,15,11,8,REV,19,11,20,6
DEU,32,45,33,7,ZEC,14,0,,0,DAN,11,9,11,24,REV,20,7,21,8
DEU,33,8,33,23,MAL,1,1,2,12,DAN,11,25,11,39,REV,21,9,21,27
DEU,33,24,34,12,MAL,2,13,4,6,DAN,11,40,12,13,REV,22,0,,0
