Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse
GEN,38,1,38,14,1SM,15,6,15,35,2CH,11,13,12,4,MAR,9,30,9,50
GEN,38,15,38,30,1SM,16,1,16,23,2CH,12,5,13,3,MAR,10,1,10,27
GEN,39,1,39,12,1SM,17,1,17,30,2CH,13,4,13,22,MAR,10,28,10,45
GEN,39,13,40,8,1SM,17,31,17,54,2CH,14,0,,0,MAR,10,46,11,14
GEN,40,9,40,23,1SM,17,55,18,27,2CH,15,0,,0,MAR,11,15,11,33
GEN,41,1,41,16,1SM,18,28,19,24,2CH,16,0,,0,MAR,12,1,12,27
GEN,41,17,41,36,1SM,20,1,20,23,2CH,17,0,,0,MAR,12,28,12,44
GEN,41,37,41,57,1SM,20,24,21,6,2CH,18,1,18,17,MAR,13,1,13,23
GEN,42,1,42,17,1SM,21,7,22,12,2CH,18,18,18,34,MAR,13,24,14,9
GEN,42,18,42,34,1SM,22,13,23,18,2CH,19,1,20,4,MAR,14,10,14,31
GEN,42,35,43,10,1SM,23,19,24,15,2CH,20,5,20,19,MAR,14,32,14,52
GEN,43,11,43,25,1SM,24,16,25,17,2CH,20,20,20,37,MAR,14,53,14,72
GEN,43,26,44,5,1SM,25,18,25,38,2CH,21,1,21,17,MAR,15,1,15,21
GEN,44,6,44,26,1SM,25,39,26,20,2CH,21,18,22,12,MAR,15,22,15,47
GEN,44,27,45,7,1SM,26,21,28,6,2CH,23,1,23,11,MAR,16,1,16,20
GEN,45,8,45,28,1SM,28,7,29,5,2CH,23,12,24,7,LUK,1,1,1,20
GEN,46,1,46,15,1SM,29,6,30,15,2CH,24,8,24,22,LUK,1,21,1,45
GEN,46,16,46,34,1SM,30,16,31,13,2CH,24,23,25,10,LUK,1,46,1,66
GEN,47,1,47,17,2SM,1,0,,0,2CH,25,11,25,24,LUK,1,67,2,14
GEN,47,18,47,31,2SM,2,1,2,28,2CH,25,25,26,10,LUK,2,15,2,38
GEN,48,1,48,14,2SM,2,29,3,21,2CH,26,11,26,23,LUK,2,39,3,9
GEN,48,15,49,7,2SM,3,22,4,8,2CH,27,1,28,8,LUK,3,10,3,22
GEN,49,8,49,26,2SM,4,9,5,21,2CH,28,9,28,27,LUK,3,23,4,8
GEN,49,27,50,11,2SM,5,22,6,23,2CH,29,1,29,17,LUK,4,9,4,32
GEN,50,12,50,26,2SM,7,1,7,24,2CH,29,18,29,30,LUK,4,33,5,7
EXO,1,1,1,22,2SM,7,25,8,18,2CH,29,31,30,9,LUK,5,8,5,26
EXO,2,1,2,12,2SM,9,1,10,14,2CH,30,10,30,27,LUK,5,27,6,5
EXO,2,13,2,25,2SM,10,15,11,17,2CH,31,1,31,10,LUK,6,6,6,32
EXO,3,1,3,17,2SM,11,18,12,18,2CH,31,11,32,5,LUK,6,33,6,49
EXO,3,18,4,9,2SM,12,19,13,14,2CH,32,6,32,21,LUK,7,1,7,23
EXO,4,10,4,23,2SM,13,15,14,3,2CH,32,22,33,3,LUK,7,24,7,43
EXO,4,24,5,9,2SM,14,4,14,24,2CH,33,4,33,17,LUK,7,44,8,15
EXO,5,10,5,23,2SM,14,25,15,18,2CH,33,18,34,11,LUK,8,16,8,36
EXO,6,1,6,19,2SM,15,19,16,4,2CH,34,12,34,25,LUK,8,37,8,56
EXO,6,20,7,7,2SM,16,5,17,7,2CH,34,26,35,6,LUK,9,1,9,17
EXO,7,8,7,24,2SM,17,8,17,29,2CH,35,7,35,19,LUK,9,18,9,36
EXO,7,25,8,15,2SM,18,1,18,23,2CH,35,20,36,9,LUK,9,37,9,62
EXO,8,16,8,24,2SM,18,24,19,15,2CH,36,10,36,23,LUK,10,1,10,20
EXO,8,25,9,7,2SM,19,16,19,39,EZR,1,1,2,6,LUK,10,21,10,42
EXO,9,8,9,21,2SM,19,40,20,19,EZR,2,7,2,42,LUK,11,1,11,23
EXO,9,22,9,35,2SM,20,20,21,14,EZR,2,43,2,67,LUK,11,24,11,42
EXO,10,1,10,15,2SM,21,15,22,28,EZR,2,68,3,9,LUK,11,43,12,10
EXO,10,16,11,3,2SM,22,29,23,10,EZR,3,10,4,7,LUK,12,11,12,34
EXO,11,4,12,10,2SM,23,11,24,4,EZR,4,8,4,24,LUK,12,35,12,53
EXO,12,11,12,20,2SM,24,5,24,25,EZR,5,1,5,13,LUK,12,54,13,17
EXO,12,21,12,36,1KI,1,1,1,27,EZR,5,14,6,12,LUK,13,18,13,35
EXO,12,37,12,51,1KI,1,28,1,53,EZR,6,13,7,6,LUK,14,1,14,24
EXO,13,1,13,16,1KI,2,1,2,25,EZR,7,7,7,20,LUK,14,25,15,7
EXO,13,17,14,9,1KI,2,26,2,46,EZR,7,21,8,14,LUK,15,8,15,32
EXO,14,10,14,22,1KI,3,0,,0,EZR,8,15,8,30,LUK,16,1,16,18
EXO,14,23,15,7,1KI,4,0,,0,EZR,8,31,9,4,LUK,16,19,17,10
EXO,15,8,15,21,1KI,5,1,6,4,EZR,9,5,9,15,LUK,17,11,17,37
EXO,15,22,16,8,1KI,6,5,6,30,EZR,10,1,10,15,LUK,18,1,18,23
EXO,16,9,16,21,1KI,6,31,7,22,EZR,10,15,10,44,LUK,18,24,18,43
EXO,16,22,17,7,1KI,7,23,7,51,NEH,1,1,2,6,LUK,19,1,19,27
EXO,17,8,18,6,1KI,8,1,8,26,NEH,2,7,2,20,LUK,19,28,19,48
EXO,18,7,18,16,1KI,8,27,8,45,NEH,3,1,3,14,LUK,20,1,20,26
EXO,18,17,19,6,1KI,8,46,8,66,NEH,3,15,3,32,LUK,20,27,21,4
EXO,19,7,19,25,1KI,9,0,,0,NEH,4,1,4,17,LUK,21,5,21,24
EXO,20,1,20,17,1KI,10,0,,0,NEH,4,18,5,11,LUK,21,25,22,6
EXO,20,18,21,6,1KI,11,1,11,25,NEH,5,12,6,9,LUK,22,7,22,34
EXO,21,7,21,27,1KI,11,26,12,5,NEH,6,10,7,4,LUK,22,35,22,62
EXO,21,28,22,6,1KI,12,6,12,31,NEH,7,5,7,38,LUK,22,63,23,12
EXO,22,7,22,24,1KI,12,32,13,19,NEH,7,39,7,62,LUK,23,13,23,38
EXO,22,25,23,13,1KI,13,20,14,10,NEH,7,63,8,3,LUK,23,39,23,56
EXO,23,14,23,33,1KI,14,11,14,31,NEH,8,4,8,18,LUK,24,1,24,27
EXO,24,1,24,18,1KI,15,1,15,30,NEH,9,1,9,15,LUK,24,28,24,53
EXO,25,1,25,16,1KI,15,31,16,24,NEH,9,16,9,28,JOH,1,1,1,28
EXO,25,17,25,34,1KI,16,25,17,16,NEH,9,29,10,13,JOH,1,29,1,51
EXO,25,35,26,6,1KI,17,17,18,24,NEH,10,14,10,36,JOH,2,1,2,25
EXO,26,7,26,25,1KI,18,25,18,46,NEH,10,37,11,14,JOH,3,1,3,21
EXO,26,26,27,8,1KI,19,0,,0,NEH,11,15,11,36,JOH,3,22,4,10
EXO,27,9,27,21,1KI,20,1,20,27,NEH,12,1,12,29,JOH,4,11,4,30
EXO,28,1,28,14,1KI,20,28,21,4,NEH,12,30,12,47,JOH,4,31,4,54
EXO,28,15,28,30,1KI,21,5,21,29,NEH,13,1,13,14,JOH,5,1,5,24
EXO,28,31,29,3,1KI,22,1,22,28,NEH,13,15,13,31,JOH,5,25,5,47
EXO,29,4,29,18,1KI,22,29,22,53,EST,1,1,1,15,JOH,6,1,6,24
EXO,29,19,29,34,2KI,1,1,2,3,EST,1,16,2,7,JOH,6,25,6,51
EXO,29,35,29,46,2KI,2,4,3,3,EST,2,8,2,18,JOH,6,52,6,71
EXO,30,1,30,16,2KI,3,4,3,27,EST,2,19,3,9,JOH,7,1,7,31
EXO,30,17,30,38,2KI,4,1,4,31,EST,3,10,4,9,JOH,7,32,7,53
EXO,31,0,,0,2KI,4,32,5,7,EST,4,10,5,8,JOH,8,1,8,24
EXO,32,1,32,10,2KI,5,8,6,7,EST,5,9,6,3,JOH,8,25,8,47
EXO,32,11,32,24,2KI,6,8,6,33,EST,6,4,7,6,JOH,8,48,9,12
EXO,32,25,33,6,2KI,7,0,,0,EST,7,7,8,8,JOH,9,13,9,34
EXO,33,7,33,23,2KI,8,1,8,24,EST,8,9,9,4,JOH,9,35,10,21
EXO,34,1,34,9,2KI,8,25,9,21,EST,9,5,9,19,JOH,10,22,11,4
EXO,34,10,34,28,2KI,9,22,10,5,EST,9,20,10,3,JOH,11,5,11,31
EXO,34,29,35,3,2KI,10,6,10,31,JOB,1,0,,0,JOH,11,32,11,54
EXO,35,4,35,24,2KI,10,32,11,16,JOB,2,0,,0,JOH,11,55,12,19
EXO,35,25,36,7,2KI,11,17,12,21,JOB,3,0,,0,JOH,12,20,12,43
EXO,36,8,36,22,2KI,13,0,,0,JOB,4,0,5,7,JOH,12,44,13,17
