											
Psalms	100	102:14		Psalms	100	101					
Genesis	34:18	34:31	1 Samuel	9:3	9:27	2 Chronicles	6:28	6:42	Mark	6:7	6:29
Genesis	35:1	35:15	1 Samuel	10:1	10:24	2 Chronicles	7:1	7:11	Mark	6:30	6:56
Genesis	35:16	36:8	1 Samuel	10:25	12:5	2 Chronicles	7:12	8:10	Mark	7:1	7:16
Genesis	36:9	36:19	1 Samuel	12:6	13:4	2 Chronicles	8:11	9:6	Mark	7:17	7:37
Genesis	36:20	36:43	1 Samuel	13:5	14:3	2 Chronicles	9:7	9:24	Mark	8:1	8:26
Genesis	37:1	37:17	1 Samuel	14:4	14:30	2 Chronicles	9:25	10:11	Mark	8:27	9:8
Genesis	37:18	37:36	1 Samuel	14:31	14:52	2 Chronicles	10:12	11:12	Mark	9:9	9:29
Genesis	38:1	38:14	1 Samuel	15:1	15:31	2 Chronicles	11:13	12:4	Mark	9:30	9:50
Genesis	38:15	38:30	1 Samuel	15:32	16:23	2 Chronicles	12:5	13:3	Mark	10:1	10:27
Genesis	39:1	39:12	1 Samuel	17:1	17:30	2 Chronicles	13:4	13:22	Mark	10:28	10:45
Genesis	39:13	40:8	1 Samuel	17:31	17:54	2 Chronicles	14		Mark	10:46	11:14
Genesis	40:9	40:23	1 Samuel	17:55	18:27	2 Chronicles	15		Mark	11:15	11:33
Genesis	41:1	41:16	1 Samuel	18:28	19:17	2 Chronicles	16		Mark	12:1	12:27
Genesis	41:17	41:36	1 Samuel	19:18	20:23	2 Chronicles	17		Mark	12:28	12:44
Genesis	41:37	41:57	1 Samuel	20:24	21:6	2 Chronicles	18:1	18:17	Mark	13:1	13:23
Genesis	42:1	42:17	1 Samuel	21:7	22:12	2 Chronicles	18:18	18:34	Mark	13:24	14:9
Genesis	42:18	42:34	1 Samuel	22:13	23:14	2 Chronicles	19:1	20:4	Mark	14:10	14:31
Genesis	42:35	43:10	1 Samuel	23:15	24:7	2 Chronicles	20:5	20:19	Mark	14:32	14:52
Genesis	43:11	43:25	1 Samuel	24:8	25:13	2 Chronicles	20:20	20:37	Mark	14:53	14:72
Genesis	43:26	44:5	1 Samuel	25:14	25:38	2 Chronicles	21:1	21:17	Mark	15:1	15:21
Genesis	44:6	44:26	1 Samuel	25:39	26:20	2 Chronicles	21:18	22:12	Mark	15:22	15:47
Genesis	44:27	45:7	1 Samuel	26:21	28:6	2 Chronicles	23:1	23:11	Mark	16:1	16:20
Genesis	45:8	45:28	1 Samuel	28:7	28:25	2 Chronicles	23:12	24:7	Luke	1:1	1:20
Genesis	46:1	46:15	1 Samuel	29:1	30:15	2 Chronicles	24:8	24:22	Luke	1:21	1:45
Genesis	46:16	46:34	1 Samuel	30:16	31:13	2 Chronicles	24:23	25:10	Luke	1:46	1:66
Genesis	47:1	47:17	2 Samuel	1		2 Chronicles	25:11	25:24	Luke	1:67	2:14
Genesis	47:18	47:31	2 Samuel	2:1	2:28	2 Chronicles	25:25	26:10	Luke	2:15	2:38
Genesis	48:1	48:14	2 Samuel	2:29	3:21	2 Chronicles	26:11	26:23	Luke	2:39	3:9
Genesis	48:15	49:7	2 Samuel	3:22	4:8	2 Chronicles	27:1	28:8	Luke	3:10	3:22
Genesis	49:8	49:26	2 Samuel	4:9	5:21	2 Chronicles	28:9	28:27	Luke	3:23	4:8
Genesis	49:27	50:11	2 Samuel	5:22	6:23	2 Chronicles	29:1	29:17	Luke	4:9	4:32
Genesis	50:12	50:26	2 Samuel	7:1	7:24	2 Chronicles	29:18	29:30	Luke	4:33	5:7
Exodus	1:1	1:22	2 Samuel	7:25	8:18	2 Chronicles	29:31	30:9	Luke	5:8	5:26
Exodus	2:1	2:12	2 Samuel	9:1	10:14	2 Chronicles	30:10	30:27	Luke	5:27	6:5
Exodus	2:13	2:25	2 Samuel	10:15	11:17	2 Chronicles	31:1	31:10	Luke	6:6	6:32
Exodus	3:1	3:17	2 Samuel	11:18	12:18	2 Chronicles	31:11	32:5	Luke	6:33	6:49
Exodus	3:18	4:9	2 Samuel	12:19	13:14	2 Chronicles	32:6	32:21	Luke	7:1	7:23
Exodus	4:10	4:23	2 Samuel	13:15	14:3	2 Chronicles	32:22	33:3	Luke	7:24	7:43
Exodus	4:24	5:9	2 Samuel	14:4	14:24	2 Chronicles	33:4	33:17	Luke	7:44	8:15
Exodus	5:10	5:23	2 Samuel	14:25	15:18	2 Chronicles	33:18	34:11	Luke	8:16	8:36
Exodus	6:1	6:19	2 Samuel	15:19	16:4	2 Chronicles	34:12	34:25	Luke	8:37	8:56
Exodus	6:20	7:7	2 Samuel	16:5	17:7	2 Chronicles	34:26	35:6	Luke	9:1	9:17
Exodus	7:8	7:24	2 Samuel	17:8	17:29	2 Chronicles	35:7	35:19	Luke	9:18	9:36
Exodus	7:25	8:15	2 Samuel	18:1	18:23	2 Chronicles	35:20	36:9	Luke	9:37	9:62
Exodus	8:16	8:24	2 Samuel	18:24	19:15	2 Chronicles	36:10	36:23	Luke	10:1	10:20
Exodus	8:25	9:7	2 Samuel	19:16	19:39	Ezra	1:1	2:6	Luke	10:21	10:42
Exodus	9:8	9:21	2 Samuel	19:40	20:19	Ezra	2:7	2:42	Luke	11:1	11:23
Exodus	9:22	9:35	2 Samuel	20:20	21:14	Ezra	2:43	2:67	Luke	11:24	11:42
Exodus	10:1	10:15	2 Samuel	21:15	22:28	Ezra	2:68	3:9	Luke	11:43	12:10
Exodus	10:16	11:3	2 Samuel	22:29	23:10	Ezra	3:10	4:7	Luke	12:11	12:34
Exodus	11:4	12:10	2 Samuel	23:11	24:4	Ezra	4:8	4:24	Luke	12:35	12:53
Exodus	12:11	12:20	2 Samuel	24:5	24:25	Ezra	5:1	5:13	Luke	12:54	13:17
Exodus	12:21	12:36	1 Kings	1:1	1:27	Ezra	5:14	6:12	Luke	13:18	13:35
Exodus	12:37	12:51	1 Kings	1:28	1:53	Ezra	6:13	7:6	Luke	14:1	14:24
Exodus	13:1	13:16	1 Kings	2:1	2:25	Ezra	7:7	7:20	Luke	14:25	15:7
Exodus	13:17	14:9	1 Kings	2:26	2:46	Ezra	7:21	8:14	Luke	15:8	15:32
Exodus	14:10	14:22	1 Kings	3		Ezra	8:15	8:30	Luke	16:1	16:18
Exodus	14:23	15:7	1 Kings	4		Ezra	8:31	9:4	Luke	16:19	17:10
Exodus	15:8	15:21	1 Kings	5:1	6:4	Ezra	9:5	9:15	Luke	17:11	17:37
Exodus	15:22	16:8	1 Kings	6:5	6:30	Ezra	10:1	10:15	Luke	18:1	18:23
Exodus	16:9	16:21	1 Kings	6:31	7:22	Ezra	10:15	10:44	Luke	18:24	18:43
Exodus	16:22	17:7	1 Kings	7:23	7:51	Nehemiah	1:1	2:6	Luke	19:1	19:27
Exodus	17:8	18:6	1 Kings	8:1	8:26	Nehemiah	2:7	2:20	Luke	19:28	19:48
Exodus	18:7	18:16	1 Kings	8:27	8:45	Nehemiah	3:1	3:14	Luke	20:1	20:26
Exodus	18:17	19:6	1 Kings	8:46	8:66	Nehemiah	3:15	3:32	Luke	20:27	21:4
Exodus	19:7	19:25	1 Kings	9		Nehemiah	4:1	4:17	Luke	21:5	21:24
Exodus	20:1	20:17	1 Kings	10		Nehemiah	4:18	5:11	Luke	21:25	22:6
Exodus	20:18	21:6	1 Kings	11:1	11:25	Nehemiah	5:12	6:9	Luke	22:7	22:34
Exodus	21:7	21:27	1 Kings	11:26	12:5	Nehemiah	6:10	7:4	Luke	22:35	22:62
Exodus	21:28	22:6	1 Kings	12:6	12:31	Nehemiah	7:5	7:38	Luke	22:63	23:12
Exodus	22:7	22:24	1 Kings	12:32	13:19	Nehemiah	7:39	7:62	Luke	23:13	23:38
Exodus	22:25	23:13	1 Kings	13:20	14:10	Nehemiah	7:63	8:3	Luke	23:39	23:56
Exodus	23:14	23:33	1 Kings	14:11	14:31	Nehemiah	8:4	8:18	Luke	24:1	24:27
Exodus	24:1	24:18	1 Kings	15:1	15:30	Nehemiah	9:1	9:15	Luke	24:28	24:53
